DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.13922627,0.13928695,0.122487426,0.054175436,0.05418736,0.052865945
0.15056,0.15059535,0.13213895,0.09463467,0.09458815,0.10032622
0.12306636,0.123037234,0.10258748,0.08193575,0.08192909,0.0777518
0.12550183,0.1255904,0.11517898,0.08706784,0.08712541,0.094878934
0.9922529,0.99226373,0.98152626,0.8937271,0.8931064,0.8616801
0.1756338,0.17566825,0.15391657,0.11504436,0.114994444,0.1162468
0.9145229,0.91455257,0.8334536,0.66864306,0.6682656,0.6096979
0.16326027,0.16333172,0.13819614,0.080113895,0.08015608,0.081095316
0.16101125,0.16110224,0.13653153,0.07562524,0.07566885,0.07760759
0.1064567,0.10641655,0.09678865,0.045217995,0.045142595,0.039578445
