DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.10882649,0.10881328,0.09807944,0.05092626,0.050883535,0.044308882
0.75257045,0.75243855,0.64112526,0.99681157,0.99679923,0.9920827
0.12993109,0.12997256,0.11921687,0.053074248,0.053054478,0.047074575
0.74914587,0.7489274,0.65577036,0.9982852,0.9982788,0.99645954
0.21886835,0.21898045,0.19249327,0.15860458,0.15858467,0.15504639
0.1615112,0.16158397,0.13608973,0.0809313,0.08098322,0.08355317
0.9167451,0.9167479,0.835701,0.95267546,0.95258707,0.8922319
0.11636634,0.11638007,0.10731499,0.045646157,0.045633562,0.04482809
0.726008,0.72583705,0.626019,0.99839705,0.99838704,0.9965822
0.10940739,0.109364115,0.09139816,0.06466843,0.06462489,0.058428697
