DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.22265069,0.22280356,0.19739528,0.16246912,0.1625592,0.16129641
0.14878246,0.14881562,0.13055448,0.09344635,0.093398474,0.09927158
0.1439888,0.14401528,0.12613101,0.0908274,0.090782054,0.09678506
0.5333231,0.5334218,0.46287087,0.97763985,0.97763664,0.9577254
0.11941976,0.11947694,0.10258455,0.0910954,0.09120332,0.088433824
0.1362669,0.13632315,0.12520987,0.05600232,0.05599536,0.050002024
0.10744409,0.10742023,0.0969163,0.048388824,0.048333243,0.04252613
0.23053408,0.23064056,0.20047133,0.16449556,0.16466703,0.15216197
0.14271614,0.14277227,0.123059906,0.09196764,0.091977276,0.09933763
0.5173586,0.51751626,0.45429623,0.9462678,0.94625825,0.9168468
