DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.12006887,0.120025024,0.10138297,0.060399078,0.060365036,0.057458896
0.36468986,0.36468285,0.31567368,0.98481673,0.98480684,0.97540104
0.112240925,0.112202615,0.09644361,0.056033067,0.055996254,0.052276373
0.52036154,0.5203629,0.4438988,0.9908308,0.99082243,0.9813271
0.1307047,0.13068795,0.11005534,0.07175173,0.07171186,0.06768672
0.14902768,0.14901692,0.12857462,0.09385412,0.09376001,0.0952856
0.42755562,0.42756298,0.36824366,0.9880441,0.98803496,0.978546
0.10624962,0.106199645,0.09661818,0.044695124,0.044613577,0.040162068
0.6769396,0.6769351,0.5800617,0.9863681,0.9863549,0.96985763
0.14083233,0.14085315,0.11846655,0.075713396,0.075722456,0.07759986
