DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.13556187,0.13567296,0.12171675,0.12071261,0.12080851,0.1284487
0.113563694,0.11352011,0.095230006,0.06548207,0.06543479,0.059960857
0.115029946,0.11502529,0.10584389,0.044667184,0.04464117,0.042817283
0.17481576,0.17487408,0.1499296,0.12105352,0.121004425,0.11605653
0.12241102,0.12242706,0.11091135,0.044966523,0.044959504,0.04309924
0.15703955,0.15708339,0.13803345,0.10033146,0.10030994,0.10497142
0.20738247,0.20748849,0.18191235,0.14261249,0.14275476,0.14174744
0.14799316,0.14808485,0.1345982,0.09232366,0.092390634,0.07346797
0.5590248,0.5591089,0.47576445,0.8187453,0.8183801,0.7619873
0.19466989,0.19474857,0.17198314,0.13343768,0.13342111,0.13386938
