DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.1181657,0.11818023,0.109403424,0.047564443,0.047527857,0.043678872
0.6195717,0.61955804,0.5330135,0.9740145,0.9739716,0.95680636
0.14329764,0.14329256,0.12280027,0.08676831,0.08667221,0.08625648
0.6474101,0.64749414,0.56650525,0.98468184,0.98467,0.96798605
0.58327186,0.5833716,0.5104527,0.99020493,0.9901941,0.97983444
0.10542018,0.10538533,0.0896266,0.059107825,0.059081573,0.050429713
0.13719466,0.13719355,0.119703054,0.06786891,0.067823306,0.06580903
0.10798491,0.1079427,0.09868256,0.042672094,0.042611968,0.039501682
0.10895833,0.10891646,0.0907916,0.06580652,0.065770164,0.05904006
0.6989689,0.69888425,0.5907056,0.9954787,0.99546903,0.9886565
