DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.1093044,0.109257974,0.09844657,0.048814036,0.048731588,0.044654593
0.73462886,0.73463774,0.64093053,0.9859036,0.98589057,0.96706057
0.5408562,0.5409375,0.4704487,0.9912462,0.9912355,0.98252267
0.7058238,0.70573866,0.6050609,0.9916123,0.9915791,0.9838304
0.15570241,0.15576483,0.13433447,0.066424936,0.06644468,0.06533943
0.13115124,0.13113914,0.11044373,0.070296854,0.07025623,0.067394756
0.14654535,0.14655417,0.12413701,0.077640004,0.0776309,0.07616187
0.122851476,0.12288016,0.11324999,0.049152374,0.049113072,0.04400203
0.6417061,0.64179426,0.56197417,0.9845599,0.9845508,0.96736974
0.10501513,0.10497604,0.090763636,0.052648116,0.052606653,0.047367014
