DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.15876493,0.15882036,0.13473974,0.081544064,0.0815746,0.08211929
0.1208773,0.120846264,0.10052532,0.08026505,0.08025642,0.07579041
0.5487275,0.54884446,0.4786134,0.9771776,0.9771595,0.9596554
0.104516566,0.10448885,0.09153009,0.053372733,0.05333671,0.045998823
0.10510276,0.10504893,0.09499327,0.045729347,0.045646496,0.04061751
0.13385221,0.1339039,0.12340377,0.057314612,0.057317898,0.054228473
0.6092294,0.6091575,0.5163896,0.99805397,0.99804693,0.99559635
0.1661502,0.1661793,0.14307567,0.10429896,0.10424005,0.10211406
0.1356004,0.13569736,0.12505947,0.11469915,0.11476693,0.119911954
0.113297135,0.11331213,0.098738,0.066978194,0.066977814,0.053241506
