DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.4424955,0.44287977,0.4278755,0.7965811,0.7968637,0.7398703
0.10861849,0.10858613,0.09098543,0.068733074,0.068722054,0.057728227
0.12428125,0.12436036,0.11361561,0.077198066,0.07724453,0.08229431
0.51060253,0.5107124,0.45729738,0.9311568,0.9311439,0.9087733
0.44927335,0.44952,0.40600204,0.8270887,0.8270662,0.79098415
0.4338244,0.4338204,0.40338916,0.92645943,0.9265426,0.88787335
0.42828062,0.4284415,0.3805959,0.9493212,0.9493157,0.92554843
0.12026685,0.120276995,0.11078719,0.048513215,0.048494723,0.04659454
0.43605304,0.43636578,0.417195,0.87412053,0.8743332,0.837764
0.53766453,0.53770095,0.4817667,0.96078646,0.9607216,0.9459832
