DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.64580244,0.6458333,0.57483315,0.9837186,0.9837267,0.9539789
0.44185096,0.44206345,0.39758843,0.92403406,0.9241042,0.88364154
0.13531367,0.13522086,0.10673655,0.11398354,0.11347494,0.10060758
0.1450169,0.14502543,0.12372685,0.085172266,0.085105516,0.082152985
0.12879701,0.12878284,0.10874564,0.07488502,0.07485714,0.077530116
0.12534727,0.12539046,0.112814054,0.04869043,0.04869799,0.04753981
0.41705942,0.41719824,0.3610758,0.5121586,0.5114799,0.45855436
0.12067388,0.120741494,0.1114918,0.07477638,0.074800454,0.07994914
0.17028931,0.1703326,0.1446414,0.11935603,0.11926457,0.11387542
0.124601,0.12464277,0.10810148,0.08993528,0.08996412,0.09142041
