DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.14149533,0.14157367,0.123915665,0.0657694,0.06579368,0.06605672
0.1544504,0.15456352,0.1337751,0.1139877,0.114022925,0.11984051
0.13620791,0.1362064,0.12018561,0.06408145,0.064042166,0.061184503
0.106501326,0.10645133,0.089851506,0.05821346,0.058169868,0.05257744
0.121645965,0.12170061,0.10549444,0.09726021,0.097303525,0.09765198
0.9926313,0.9926373,0.97471476,0.6680467,0.66751224,0.6203269
0.1532198,0.15326466,0.12953427,0.07947128,0.07949655,0.080114156
0.6402961,0.64021534,0.56677186,0.98756254,0.98753273,0.97906005
0.66203856,0.6618601,0.57201296,0.99629676,0.9962851,0.99289894
0.66712004,0.6669805,0.58938587,0.9931495,0.99312836,0.9878335
