DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.7967845,0.7965524,0.7037234,0.99858433,0.9985774,0.9967354
0.1318141,0.13184899,0.11482435,0.09004668,0.09003929,0.09372018
0.11065702,0.11060734,0.09281301,0.06108208,0.061033484,0.055886354
0.573024,0.5729262,0.5025654,0.9877299,0.98771226,0.9812279
0.13552222,0.13557735,0.11753568,0.09631464,0.09632824,0.100765176
0.10913909,0.10908383,0.09171848,0.05813641,0.058090687,0.053414613
0.10890693,0.10885266,0.09162492,0.058040936,0.05799525,0.05328732
0.15201104,0.15206222,0.12797748,0.08311256,0.08314577,0.08749392
0.1353771,0.13544933,0.1196759,0.067383535,0.06740778,0.06806661
0.15244561,0.1524652,0.130331,0.079737656,0.079732545,0.07863732
