DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.6486497,0.64858365,0.54996747,0.9961785,0.99617404,0.98986447
0.13127607,0.13126388,0.11056302,0.0704968,0.07045565,0.06734983
0.10827147,0.1082315,0.08987329,0.067349456,0.06732293,0.060123146
0.80084544,0.80134356,0.7084592,0.3283498,0.329522,0.19072144
0.13219956,0.13218881,0.111261465,0.072720036,0.07267695,0.07080627
0.20743194,0.20758252,0.18275306,0.10036848,0.100449085,0.08597805
0.13207738,0.13207467,0.111606866,0.07763601,0.07763142,0.08251136
0.17212802,0.17215982,0.14517473,0.124500826,0.12434901,0.11825323
0.12260866,0.12261864,0.110994875,0.045568477,0.0455561,0.0434864
0.1774672,0.17750898,0.15364751,0.11414807,0.114091374,0.11197827
