DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.1286576,0.12869743,0.11176674,0.09137001,0.091373526,0.0944138
0.14855756,0.14858471,0.12911846,0.072096325,0.072083615,0.07064714
0.8204163,0.8204552,0.7228717,0.94682986,0.9467648,0.91745126
0.15756261,0.15764779,0.13429579,0.09702842,0.0970668,0.104251415
0.1630247,0.1630464,0.14256278,0.10381075,0.10374984,0.10652876
0.1617136,0.16183594,0.13882992,0.10301517,0.10306814,0.10877295
0.13214916,0.13223857,0.118396364,0.08265657,0.082711086,0.086988725
0.134214,0.13428648,0.11642152,0.10330712,0.10333664,0.10652313
0.8767869,0.87685126,0.78834414,0.7494002,0.7491426,0.7051435
0.15111583,0.15117292,0.12763263,0.08644319,0.08647443,0.09211405
