DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.14528032,0.14535244,0.13294883,0.05970967,0.05971632,0.054338705
0.14641543,0.14644603,0.12345244,0.07743869,0.0774543,0.07830106
0.16496192,0.16493529,0.13664967,0.12516627,0.12489583,0.11678681
0.67680806,0.6768906,0.59640807,0.9787581,0.9787469,0.9557171
0.13252029,0.13250978,0.11148771,0.07330671,0.07326674,0.071864516
0.1700772,0.17011614,0.14659785,0.11056787,0.11054346,0.10701738
0.8756751,0.8756153,0.79160225,0.9991174,0.9991141,0.99681365
0.15692547,0.15702178,0.13488884,0.10430379,0.10434432,0.111034036
0.15161283,0.15166281,0.13189274,0.06514248,0.06514982,0.063434444
0.11413952,0.114139795,0.10536893,0.0453324,0.045282103,0.041531924
