DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.12933685,0.12942746,0.116909236,0.083959885,0.08401985,0.08938865
0.16136788,0.16143543,0.13769543,0.07681004,0.07684115,0.07677315
0.108852796,0.10882396,0.099794805,0.043730225,0.043663956,0.039843448
0.12911807,0.12910338,0.109073795,0.07356942,0.07352492,0.07367381
0.95559245,0.9556089,0.90678537,0.96646404,0.9663871,0.9470967
0.10822442,0.10816976,0.09083274,0.058582313,0.05853714,0.053361304
0.85863465,0.858642,0.7742183,0.9884567,0.9884257,0.9790039
0.8778504,0.877871,0.79323643,0.9424616,0.9423505,0.91412634
0.2529143,0.2530807,0.23641217,0.41106468,0.41140345,0.38881177
0.83951414,0.83955145,0.75166607,0.9743298,0.97428435,0.9576645
