DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.93400943,0.9340522,0.8731114,0.910269,0.91016537,0.87898976
0.16407032,0.16416676,0.14639051,0.11724317,0.11727384,0.12637056
0.10526644,0.1052422,0.092054434,0.054969165,0.054936234,0.04672293
0.15160395,0.15163337,0.12863417,0.080063716,0.08007454,0.07962362
0.6702392,0.6702328,0.57662106,0.98796797,0.98793685,0.977155
0.6916422,0.69143385,0.58216536,0.9979097,0.9979019,0.99492073
0.10608879,0.10605797,0.09022673,0.060331304,0.060311783,0.051074434
0.64798784,0.6478102,0.56196755,0.9958973,0.9958861,0.99262846
0.10898543,0.10897277,0.09739046,0.055183224,0.055148043,0.047182843
0.13220707,0.13219555,0.114659145,0.0654518,0.06541187,0.063946724
