DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.20721023,0.20730627,0.18104672,0.14199607,0.14215976,0.13867395
0.119123675,0.11912801,0.109801486,0.047739875,0.047716476,0.04515522
0.6157302,0.6157863,0.5328117,0.98858654,0.98857605,0.9758081
0.629105,0.62905735,0.5293587,0.98680365,0.98678195,0.97355145
0.11729825,0.11731322,0.10842398,0.046996146,0.04694582,0.04238346
0.22208087,0.22223088,0.19703458,0.1621571,0.162214,0.16060977
0.4582685,0.45845658,0.4122458,0.8579023,0.8579792,0.82893044
0.14697708,0.14703411,0.12832327,0.057029277,0.057045497,0.055299718
0.1571744,0.15728499,0.13584797,0.11197323,0.11201067,0.11783738
0.5302688,0.53038794,0.4717017,0.921794,0.9217571,0.8951836
