DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.14562674,0.14561963,0.12382897,0.09436545,0.09434738,0.089776576
0.15074694,0.1507953,0.13252053,0.09770493,0.097710684,0.10118039
0.55057156,0.5507955,0.49828452,0.9453236,0.9453447,0.9121925
0.56999195,0.57017314,0.5091753,0.9741793,0.9741424,0.9576716
0.25823417,0.25833178,0.2270404,0.21969946,0.21956421,0.19697335
0.1636808,0.16378157,0.13918206,0.09441167,0.09445307,0.09994201
0.10720181,0.10717749,0.09126651,0.06271753,0.06270603,0.05251262
0.18087627,0.18093115,0.15677102,0.11833542,0.11831397,0.1151251
0.11746057,0.11741129,0.0984867,0.060182866,0.060140606,0.056746505
0.57095903,0.5710551,0.4962085,0.901676,0.901531,0.8640545
