DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.1647052,0.16481288,0.14009428,0.09287264,0.09291665,0.09781898
0.14012052,0.14016558,0.1245715,0.07026966,0.07028359,0.06380001
0.39996466,0.39993957,0.3427922,0.98522586,0.98521507,0.975085
0.10915362,0.10910462,0.09147548,0.06151281,0.06146474,0.055803265
0.15608492,0.15612885,0.13276413,0.0818232,0.08184315,0.08179719
0.13944344,0.13953353,0.122890316,0.08213007,0.082176074,0.08513545
0.6550785,0.6549522,0.5589108,0.9958024,0.9957865,0.9916641
0.5913934,0.5913814,0.50065106,0.9846212,0.98460054,0.970264
0.64919275,0.64903384,0.5650649,0.995363,0.9953519,0.99204725
0.16039713,0.16047125,0.13700041,0.069504276,0.06953752,0.06919289
