DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.14681746,0.14688513,0.12631798,0.09451541,0.094534956,0.10194801
0.16385901,0.16388531,0.140863,0.10773093,0.10770436,0.10354223
0.14954826,0.14955981,0.12811828,0.09011242,0.09003367,0.087767154
0.4729193,0.47310933,0.4209688,0.9566098,0.95660216,0.9320387
0.11612934,0.116125464,0.10607505,0.05212304,0.05208576,0.045480557
0.13371387,0.13376042,0.11606317,0.093507744,0.09351056,0.09801599
0.42780888,0.42784145,0.3710249,0.9883082,0.9882993,0.9790479
0.1304148,0.13042617,0.117026314,0.050756715,0.050739422,0.04839881
0.16312735,0.16320784,0.13747963,0.08227772,0.08232977,0.08547235
0.13509399,0.13515367,0.11707489,0.098025575,0.09804563,0.1021021
