DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.4445825,0.44491172,0.4259723,0.8359176,0.83615386,0.77965355
0.14797929,0.14804937,0.13073371,0.100090645,0.100168854,0.10164994
0.12501566,0.12505709,0.112614155,0.04782632,0.047833055,0.046555277
0.13767289,0.13766593,0.11624451,0.07165837,0.07162808,0.07015174
0.14233144,0.14232,0.12092178,0.088447355,0.08840149,0.0835278
0.11833654,0.11838597,0.10230481,0.09333356,0.093387134,0.09283327
0.15440872,0.15446264,0.13366894,0.06917951,0.069190584,0.06784275
0.14583723,0.1458626,0.12784095,0.0665904,0.066576965,0.06473531
0.52494013,0.5248351,0.4389413,0.9965397,0.9965309,0.99273205
0.5983861,0.59845227,0.5216905,0.994354,0.99434114,0.98830724
