DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.16291632,0.16299598,0.13841535,0.07239173,0.07243576,0.07264694
0.126758,0.12680316,0.11380245,0.049270287,0.049278438,0.048087236
0.16243605,0.16252528,0.1373699,0.07719265,0.07724059,0.07939038
0.51921195,0.5192223,0.4427318,0.98610544,0.98609376,0.9734343
0.13481726,0.13492867,0.12126102,0.1265558,0.12667096,0.13308121
0.4627003,0.46284702,0.40837443,0.9795409,0.9795254,0.9656617
0.14764917,0.14769603,0.12972014,0.0958078,0.09580528,0.099646404
0.11039713,0.11036875,0.1011599,0.04302117,0.042967383,0.04001344
0.395572,0.39569795,0.35216025,0.9717399,0.971748,0.9538298
0.46398842,0.46423733,0.4224771,0.9348378,0.93482673,0.9088075
