DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.13297793,0.13302748,0.12261123,0.055841327,0.055840325,0.052492622
0.10752988,0.10749776,0.098354615,0.045017235,0.044942807,0.040040694
0.87081933,0.8709024,0.8106855,0.9844028,0.98437905,0.97800773
0.1623885,0.16246527,0.13676907,0.082800396,0.08285057,0.08615643
0.14925347,0.14932817,0.12837873,0.0970086,0.09703314,0.10426686
0.1621842,0.16227272,0.13738436,0.09099235,0.09103137,0.096080594
0.16183291,0.16190185,0.13792863,0.076789804,0.076822795,0.07687177
0.12987806,0.1298611,0.11004513,0.07570926,0.07565215,0.076302096
0.5162835,0.5162569,0.45701572,0.9754152,0.9753918,0.9661518
0.13786198,0.1378947,0.11959115,0.0885836,0.08856483,0.09508667
