DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.11534268,0.1153364,0.105305076,0.051558457,0.051518105,0.044990256
0.120279185,0.120304525,0.109393016,0.043961503,0.043961346,0.042702395
0.60247356,0.6024535,0.51596177,0.99686,0.996851,0.9931268
0.13451746,0.13450505,0.11303956,0.07026942,0.07023376,0.06870193
0.13739786,0.13750575,0.122595236,0.119860075,0.11992822,0.12674023
0.60509485,0.6052336,0.5346792,0.9454436,0.9454419,0.9096
0.163733,0.16381042,0.138184,0.07954561,0.07959634,0.08129127
0.15137412,0.15139124,0.12933405,0.0792052,0.079197615,0.07805319
0.11125159,0.11124119,0.10078816,0.051231273,0.051192284,0.044492066
0.13979919,0.13986067,0.121069536,0.09716374,0.09717917,0.10267791
