DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.1063668,0.10633319,0.08678433,0.06969088,0.06967142,0.05999081
0.12776858,0.12782004,0.11792109,0.066716254,0.06673162,0.06447833
0.16103642,0.16113937,0.13768382,0.10176254,0.1018074,0.10865651
0.10915473,0.10912228,0.09994318,0.04300648,0.04294688,0.03969687
0.13238065,0.1323711,0.11160954,0.08500811,0.085001655,0.08079753
0.123600155,0.1235861,0.11152795,0.051646948,0.051604647,0.04856987
0.9554043,0.95545554,0.90811336,0.82498527,0.8247715,0.7991078
0.109384224,0.1093466,0.0947826,0.05296452,0.052924257,0.048811637
0.6461545,0.646091,0.56416374,0.9843466,0.98431265,0.973652
0.16166562,0.16169508,0.14168032,0.10245928,0.10241034,0.106251225
